on_date,fii_purchase,fii_sales,fii_net,dii_purchase,dii_sales,dii_net,category
31-Oct-2023,"10,940.20","11,636.22",-696.02,"6,479.49","6,139.24",340.25,cash
30-Oct-2023,"6,653.70","8,415.56","-1,761.86","7,523.60","6,195.13","1,328.47",cash
27-Oct-2023,"9,360.25","10,860.38","-1,500.13","7,135.99","6,822.30",313.69,cash
26-Oct-2023,"10,239.05","17,941.58","-7,702.53","13,600.71","7,042.26","6,558.45",cash
25-Oct-2023,"9,075.61","13,312.21","-4,236.60","9,638.55","6,069.19","3,569.36",cash
23-Oct-2023,"8,229.80","7,977.55",252.25,"8,022.52","6,910.68","1,111.84",cash
20-Oct-2023,"13,645.57","13,189.36",456.21,"6,870.72","6,862.19",8.53,cash
19-Oct-2023,"10,102.11","11,195.58","-1,093.47","7,249.75","6,513.60",736.15,cash
18-Oct-2023,"9,761.24","11,593.08","-1,831.84","8,166.53","6,697.03","1,469.50",cash
17-Oct-2023,"8,517.96","8,254.28",263.68,"6,492.43","6,379.88",112.55,cash
16-Oct-2023,"7,013.59","7,607.25",-593.66,"6,737.67","5,553.43","1,184.24",cash
13-Oct-2023,"10,317.87","10,000.86",317.01,"7,660.98","7,763.86",-102.88,cash
12-Oct-2023,"8,601.40","10,463.97","-1,862.57","8,706.39","7,174.31","1,532.08",cash
11-Oct-2023,"12,526.94","12,948.71",-421.77,"8,369.48","7,337.46","1,032.02",cash
10-Oct-2023,"8,067.15","9,072.64","-1,005.49","8,623.58","6,660.24","1,963.34",cash
09-Oct-2023,"6,847.63","6,074.80",772.83,399.02,885.92,-486.9,cash
06-Oct-2023,"6,727.34","6,817.63",-90.29,"7,150.57","6,367.32",783.25,cash
05-Oct-2023,"10,304.08","12,168.28","-1,864.20","7,787.18","7,265.77",521.41,cash
04-Oct-2023,"9,848.55","14,272.57","-4,424.02","10,050.08","8,280.59","1,769.49",cash
03-Oct-2023,"9,714.68","11,748.82","-2,034.14","9,223.41","7,862.39","1,361.02",cash
29-Sep-2023,"10,058.35","11,744.05","-1,685.70","8,788.50","6,037.01","2,751.49",cash
28-Sep-2023,"10,711.39","14,075.61","-3,364.22","15,118.41","12,406.93","2,711.48",cash
27-Sep-2023,"9,575.17","9,929.52",-354.35,"8,419.68","8,033.40",386.28,cash
26-Sep-2023,"8,750.81","9,444.28",-693.47,"7,502.47","6,787.72",714.75,cash
25-Sep-2023,"8,510.65","10,843.68","-2,333.03","8,621.77","7,042.49","1,579.28",cash
22-Sep-2023,"10,840.20","12,166.94","-1,326.74","7,902.06","7,100.79",801.27,cash
21-Sep-2023,"9,132.58","12,139.94","-3,007.36","7,860.39","6,702.25","1,158.14",cash
20-Sep-2023,"15,769.17","18,879.86","-3,110.69","10,052.34","10,625.36",-573.02,cash
18-Sep-2023,"7,520.34","8,756.85","-1,236.51","8,097.08","7,544.53",552.55,cash
15-Sep-2023,"33,124.28","32,959.86",164.42,"12,082.64","10,144.07","1,938.57",cash
14-Sep-2023,"9,870.00","9,575.31",294.69,"6,943.14","6,993.94",-50.8,cash
13-Sep-2023,"10,375.25","12,006.88","-1,631.63","8,104.69","7,254.83",849.86,cash
12-Sep-2023,"13,653.37","14,700.56","-1,047.19","10,341.00","10,081.51",259.49,cash
11-Sep-2023,"11,469.51","9,996.42","1,473.09","8,522.40","8,156.16",366.24,cash
08-Sep-2023,"9,850.49","10,074.71",-224.22,"8,324.05","7,173.90","1,150.15",cash
07-Sep-2023,"9,005.65","9,764.20",-758.55,"7,203.95","7,175.84",28.11,cash
06-Sep-2023,"9,994.21","13,240.07","-3,245.86","10,202.87","10,450.33",-247.46,cash
05-Sep-2023,"8,414.44","10,139.55","-1,725.11","8,580.69","7,502.83","1,077.86",cash
04-Sep-2023,"6,833.29","10,200.96","-3,367.67","10,461.54","7,898.06","2,563.48",cash
01-Sep-2023,"15,219.61","14,731.67",487.94,"10,888.79","8,593.86","2,294.93",cash
31-Aug-2023,"47,666.11","50,639.21","-2,973.10","16,236.73","11,853.97","4,382.76",cash
30-Aug-2023,"10,211.33","10,706.01",-494.68,"8,713.38","7,390.14","1,323.24",cash
29-Aug-2023,"10,515.48","10,453.97",61.51,"8,131.87","7,826.78",305.09,cash
28-Aug-2023,"10,235.41","11,628.66","-1,393.25","7,711.28","6,447.27","1,264.01",cash
25-Aug-2023,"10,929.61","15,567.82","-4,638.21","8,542.44","7,128.09","1,414.35",cash
24-Aug-2023,"12,992.74","11,467.87","1,524.87","13,050.83","7,254.22","5,796.61",cash
23-Aug-2023,"9,419.37","8,805.05",614.32,"7,228.77","7,103.74",125.03,cash
22-Aug-2023,"8,854.08","9,349.25",-495.17,"6,027.22","5,493.47",533.75,cash
21-Aug-2023,"8,074.95","9,976.05","-1,901.10","6,157.40","5,531.15",626.25,cash
18-Aug-2023,"12,302.17","12,569.15",-266.98,"6,501.00","6,161.82",339.18,cash
17-Aug-2023,"11,205.13","12,715.99","-1,510.86","6,293.38","6,607.35",-313.97,cash
16-Aug-2023,"21,055.98","20,333.22",722.76,"7,977.67","5,571.48","2,406.19",cash
14-Aug-2023,"7,334.69","9,658.92","-2,324.23","7,640.85","6,179.95","1,460.90",cash
11-Aug-2023,"9,508.14","12,581.42","-3,073.28","8,828.21","8,327.86",500.35,cash
10-Aug-2023,"11,533.43","11,202.21",331.22,"9,153.78","8,450.06",703.72,cash
09-Aug-2023,"9,342.47","8,698.36",644.11,"8,041.44","8,639.32",-597.88,cash
08-Aug-2023,"10,721.75","11,433.09",-711.34,"8,809.11","8,271.80",537.31,cash
07-Aug-2023,"11,709.39","13,602.16","-1,892.77","7,491.40","6,410.60","1,080.80",cash
04-Aug-2023,"8,674.23","9,230.55",-556.32,"8,378.65","8,012.04",366.61,cash
03-Aug-2023,"11,379.30","11,696.76",-317.46,"9,582.30","7,853.11","1,729.19",cash
02-Aug-2023,"8,266.22","10,144.06","-1,877.84","9,312.50","9,314.73",-2.23,cash
01-Aug-2023,"8,655.19","8,748.04",-92.85,"8,156.13","7,120.44","1,035.69",cash
31-Jul-2023,"12,087.69","12,788.86",-701.17,"9,236.88","6,748.81","2,488.07",cash
28-Jul-2023,"9,267.42","10,291.33","-1,023.91","8,813.04","7,178.67","1,634.37",cash
27-Jul-2023,"11,640.43","15,619.87","-3,979.44","9,281.77","6,753.62","2,528.15",cash
26-Jul-2023,"8,700.87","7,778.03",922.84,"7,529.42","7,059.32",470.1,cash
25-Jul-2023,"10,471.84","9,383.08","1,088.76","7,793.68","8,127.38",-333.7,cash
24-Jul-2023,"9,719.18","9,802.14",-82.96,"8,655.89","7,721.02",934.87,cash
21-Jul-2023,"10,020.40","12,019.17","-1,998.77","10,532.48","9,241.75","1,290.73",cash
20-Jul-2023,"11,423.73","8,052.83","3,370.90","8,102.27","8,295.29",-193.02,cash
19-Jul-2023,"8,973.07","7,807.60","1,165.47","6,389.07","8,523.61","-2,134.54",cash
18-Jul-2023,"8,596.02","8,091.36",504.66,340.31,144.51,195.8,cash
17-Jul-2023,"8,286.36","8,213.36",73,"7,182.87","7,118.53",64.34,cash
14-Jul-2023,"12,486.00","9,849.57","2,636.43","7,333.85","8,106.30",-772.45,cash
13-Jul-2023,"10,128.06","7,890.13","2,237.93","8,229.67","9,426.35","-1,196.68",cash
12-Jul-2023,"18,217.66","19,460.10","-1,242.44","15,051.19","14,614.48",436.71,cash
11-Jul-2023,"10,839.74","9,642.36","1,197.38","9,758.83","9,766.08",-7.25,cash
10-Jul-2023,"8,128.05","7,539.57",588.48,"8,074.49","7,786.11",288.38,cash
